Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1841.0442645104113
FDW14,OUT017,1570.8832080966404
NCN55,OUT010,1875.130944144723
FDQ58,OUT017,2587.396872656822
FDY38,OUT027,5186.701824581041
FDH56,OUT046,1926.0930939261625
FDL48,OUT018,597.6485298356522
FDC48,OUT027,2780.450840933928
FDN33,OUT045,1516.6517129027661
FDA36,OUT017,3085.4635549743057
FDT44,OUT017,1995.8390448956943
FDQ56,OUT045,1317.038932550769
NCC54,OUT019,1860.1335079562386
FDU11,OUT049,2060.253908997025
DRL59,OUT013,889.5446830771423
FDM24,OUT049,2559.4619302847454
FDI57,OUT045,3082.1625020571123
DRC12,OUT018,2759.0927509571993
NCM42,OUT027,3196.1207082254086
FDA46,OUT010,1138.9560210392754
FDA31,OUT013,2809.3029803827158
NCJ31,OUT035,3884.9435903928284
FDG52,OUT046,802.3206519379823
NCL19,OUT019,359.59542755803386
FDS10,OUT035,3017.537917746342
FDX22,OUT010,1457.556939626002
NCF19,OUT035,922.6416324377394
NCE06,OUT046,2542.7624599614137
DRC27,OUT046,3850.642873889295
FDE21,OUT035,2024.9852494974102
NCR42,OUT019,-1362.5600762725992
FDX51,OUT018,2867.1619552610678
NCR06,OUT018,426.2112735566511
FDU31,OUT027,4946.72608105208
FDU59,OUT017,2717.493461732148
FDR03,OUT027,4752.723350407012
FDS49,OUT027,2758.602877510277
FDD48,OUT010,-73.34987105778828
NCF18,OUT017,3117.81357912023
NCD43,OUT027,3100.336724737026
NCD54,OUT018,1987.9435978063866
FDY19,OUT010,-41.20470251553934
NCY54,OUT017,2824.779839040685
NCL19,OUT018,2016.490383339562
FDP23,OUT010,1532.6018476870154
FDC26,OUT013,1827.4032461005377
FDR14,OUT010,-1021.3481461095087
NCS41,OUT035,3029.8379450508182
FDF41,OUT035,4053.6010640036534
FDU34,OUT046,1998.3413040545433
DRH11,OUT046,933.5361280868033
FDM03,OUT013,1741.073722661301
FDS31,OUT017,3024.8245689936393
FDJ20,OUT017,2097.5003954177073
FDV44,OUT027,4492.516060125972
FDG02,OUT049,3107.317413562588
FDA09,OUT013,2910.4515342273967
FDT04,OUT013,678.5053671211701
FDL58,OUT019,2291.6327190951693
FDE52,OUT045,1443.5883095897157
FDW12,OUT035,2507.0324275466187
FDL51,OUT017,3548.0200708263515
NCY42,OUT027,3690.852403596033
FDR07,OUT017,1662.4583661445158
FDN40,OUT045,2367.8770400449803
FDB35,OUT027,2958.4376171608856
FDA22,OUT017,2742.898993049264
NCL06,OUT046,4114.810495425803
FDI35,OUT013,2914.5731256212052
NCW42,OUT045,3410.5335934206782
NCX06,OUT049,2937.603651393076
FDC37,OUT027,3199.6031738814113
FDZ14,OUT018,1734.8241311984802
DRG49,OUT049,3958.8011567740255
NCG06,OUT045,3955.2375332861807
DRC36,OUT045,2722.6611907964325
FDV21,OUT019,67.74920474229373
FDB53,OUT046,2359.20062735017
DRP47,OUT019,2045.0017703069007
FDA14,OUT013,2347.79060295418
DRC24,OUT035,2567.5268752459338
FDW21,OUT018,1405.3256133775285
NCH29,OUT046,1557.051428848249
FDU58,OUT013,3078.031282428529
FDY27,OUT017,2936.6037010267332
FDV56,OUT035,1948.0853428119535
FDT59,OUT046,3655.092938605668
FDB23,OUT046,3616.3884013047395
FDR49,OUT045,700.8354117054528
FDB03,OUT010,1921.6272550381204
FDN39,OUT045,2607.35481345257
FDX02,OUT027,4983.528058859023
FDQ16,OUT027,3191.7987238176283
FDU35,OUT018,1332.2315712156687
NCT29,OUT013,1964.1277179054155
FDZ27,OUT046,820.2768470888054
FDN57,OUT017,2346.7467300693493
FDA03,OUT018,2090.324382563546
FDZ36,OUT045,2926.5997507758975
NCU05,OUT013,1328.0479297481834
FDT39,OUT018,2189.7021135859036
FDK60,OUT017,1710.1091021836564
FDZ25,OUT017,2843.3869717837115
FDG12,OUT046,2015.1589591801953
DRB01,OUT019,1115.716016114924
NCC43,OUT027,5377.017772008267
FDX13,OUT019,2030.375118325614
FDM22,OUT049,1027.9855511175033
FDJ03,OUT027,2311.3295262261677
FDU14,OUT018,3671.0970255698653
FDB33,OUT010,627.0643772586077
FDP27,OUT046,3019.3102330230113
FDO38,OUT010,-670.3854519064071
FDE28,OUT027,5150.725696049551
FDO27,OUT035,1713.6620747918114
DRL23,OUT027,3169.005702366648
FDS28,OUT046,971.9045433807173
FDX24,OUT013,1542.5524568958353
FDZ02,OUT035,1753.3713286776815
FDL46,OUT045,1808.8986191768026
FDS60,OUT027,4297.511311134407
NCO06,OUT017,639.0345774561072
FDO16,OUT035,1534.0191766479156
FDC60,OUT049,1553.6942952990362
FDA48,OUT018,3200.938809529522
FDZ36,OUT027,4450.41623797166
FDK27,OUT045,1880.2775989950924
FDW23,OUT018,388.59719238135176
FDM14,OUT018,1505.2528172842572
FDM14,OUT013,1783.3907068508906
FDW60,OUT018,2604.276196818549
FDE21,OUT013,1910.2167195654488
NCM42,OUT035,1889.0302082813478
FDY59,OUT010,-384.6609122005693
DRI49,OUT049,1384.795595091965
FDT28,OUT019,511.3321886323447
FDQ22,OUT018,403.2527395753325
FDR60,OUT049,1335.951204216287
FDC50,OUT019,-390.8600476619745
FDV24,OUT013,2450.3867358047987
DRF48,OUT010,1069.546507771862
FDQ47,OUT046,656.1696974589577
DRN36,OUT049,1657.1540838249011
NCY06,OUT035,2176.717787121478
FDE52,OUT035,1646.660267826971
NCB54,OUT045,1944.1740044004496
NCF31,OUT035,2555.3660481312686
FDJ08,OUT027,4455.31651865706
NCC07,OUT017,1789.837579121649
